DATE,CCUSMA02NZM618N_NBD19600101
2016-10-01,193.84873
2016-11-01,194.11472
2016-12-01,197.21596
2017-01-01,194.60914
2017-02-01,191.87708
2017-03-01,197.88067
2017-04-01,198.88296
2017-05-01,199.38285
2017-06-01,191.62653
2017-07-01,188.50867
2017-08-01,189.80426
2017-09-01,191.06617
2017-10-01,196.91249
2017-11-01,201.25615
2017-12-01,198.98307
2018-01-01,190.92427
2018-02-01,189.66807
2018-03-01,191.10798
2018-04-01,191.31823
2018-05-01,199.42112
2018-06-01,199.71296
2018-07-01,204.22905
2018-08-01,207.76899
2018-09-01,210.07013
2018-10-01,212.15110
2018-11-01,204.51073
2018-12-01,203.47628
2019-01-01,204.51123
2019-02-01,202.80818
2019-03-01,202.82882
2019-04-01,206.43349
2019-05-01,211.25719
2019-06-01,209.99480
2019-07-01,207.53874
2019-08-01,215.41086
2019-09-01,218.46178
2019-10-01,218.84337
2019-11-01,216.70691
2019-12-01,209.97377
2020-01-01,209.80828
2020-02-01,216.87213
2020-03-01,229.21473
2020-04-01,230.45621
2020-05-01,227.68621
2020-06-01,215.02404
2020-07-01,210.29603
2020-08-01,210.03794
2020-09-01,207.98789
2020-10-01,208.78981
2020-11-01,201.78147
2020-12-01,195.45113
2021-01-01,192.77801
2021-02-01,191.38214
2021-03-01,194.33697
2021-04-01,194.48579
2021-05-01,191.75666
2021-06-01,195.09935
2021-07-01,198.58973
2021-08-01,198.67220
2021-09-01,196.49259
2021-10-01,196.39646
2021-11-01,197.71485
2021-12-01,204.11911
2022-01-01,205.57033
2022-02-01,207.57990
2022-03-01,201.80485
2022-04-01,205.21103
2022-05-01,216.53762
2022-06-01,218.36266
2022-07-01,223.70192
2022-08-01,221.19969
2022-09-01,234.02251
2022-10-01,243.51505
2022-11-01,228.39453
2022-12-01,218.28958
2023-01-01,216.70066
2023-02-01,220.42819
2023-03-01,223.27653
2023-04-01,223.21322
2023-05-01,223.18638
2023-06-01,225.94251
2023-07-01,222.49115
2023-08-01,231.22078
2023-09-01,233.75002
2023-10-01,235.13622
2023-11-01,231.03770
2023-12-01,222.67562
