Date,Sweden
2019-08-01,9.64400909090909
2019-09-01,9.71639523809524
2019-10-01,9.77625652173913
2019-11-01,9.63735714285714
2019-12-01,9.43452727272727
2020-01-01,9.49698260869565
2020-02-01,9.6885
2020-03-01,9.80385454545454
2020-04-01,10.0241409090909
2020-05-01,9.74408095238095
2020-06-01,9.30510909090909
2020-07-01,9.04981304347826
2020-08-01,8.7148
2020-09-01,8.83729545454545
2020-10-01,8.83982272727273
2020-11-01,8.64829523809524
2020-12-01,8.36406521739131
2021-01-01,8.28795238095238
2021-02-01,8.333805
2021-03-01,8.54124347826087
2021-04-01,8.50820454545454
2021-05-01,8.34948095238095
2021-06-01,8.39402727272727
2021-07-01,8.6278
2021-08-01,8.67769545454545
2021-09-01,8.63882727272727
2021-10-01,8.67271904761905
2021-11-01,8.80116818181818
2021-12-01,9.09043043478261
2022-01-01,9.13496666666667
2022-02-01,9.29104
2022-03-01,9.57151739130435
2022-04-01,9.53119047619048
2022-05-01,9.92532272727273
2022-06-01,10.0166727272727
2022-07-01,10.3834666666667
2022-08-01,10.376847826087
2022-09-01,10.8808363636364
2022-10-01,11.1289952380952
2022-11-01,10.6711227272727
2022-12-01,10.3804181818182
2023-01-01,10.3799863636364
2023-02-01,10.431615
2023-03-01,10.4741739130435
2023-04-01,10.343375
2023-05-01,10.4371434782609
2023-06-01,10.7642090909091
2023-07-01,10.5241571428571
2023-08-01,10.8189130434783
2023-09-01,11.0855333333333
2023-10-01,11.0236545454545
2023-11-01,10.69565
2023-12-01,10.2592095238095
